,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date Time
290,shangrao,64.84,-147.72,-32.8,69,40,2.95,US,1578862634
291,crixas,53.9,27.57,35.6,86,75,11.18,BY,1578862456
292,ust-nera,-41.45,147.17,62.01,71,0,4.7,AU,1578862635
293,yar-sale,-12.07,134.27,83.28,74,71,6.46,AU,1578862635
294,chokurdakh,22.29,114.16,64.4,59,40,6.93,HK,1578862560
295,hamilton,54.99,-1.74,39.99,86,20,5.82,GB,1578862635
296,vila velha,68.05,166.44,-15.0,98,100,3.87,RU,1578862635
297,goderich,-2.57,150.8,83.48,78,100,12.8,PG,1578862635
298,sterling,-46.13,167.68,52.0,78,98,7.0,NZ,1578862636
299,palabuhanratu,12.16,-61.73,84.2,66,40,20.8,GD,1578862636
300,nueva guinea,7.5,134.62,78.8,88,75,6.93,PW,1578862636
301,sao filipe,54.15,-115.69,-16.6,62,75,10.29,CA,1578862636
302,san cristobal,60.72,-135.05,-29.0,65,5,2.77,CA,1578862636
303,saint george,-9.66,120.26,82.24,79,100,19.55,ID,1578862636
304,adeje,-9.01,-35.22,81.32,77,22,11.74,BR,1578862385
305,anuchino,-43.3,-65.1,67.37,60,0,12.26,AR,1578862637
306,kendrapara,60.82,-115.8,-38.2,65,40,6.93,CA,1578862637
307,bubaque,30.58,-111.1,71.01,17,95,1.99,MX,1578862637
308,bathsheba,-34.48,-54.33,70.79,49,0,13.89,UY,1578862586
309,namatanai,32.87,59.22,28.4,79,75,4.7,IR,1578862637
310,aklavik,-5.35,21.42,70.86,82,12,1.61,CD,1578862637
311,pampa,60.4,-1.35,41.0,80,100,23.04,GB,1578862637
312,lechinkay,40.91,69.8,30.2,92,90,6.93,UZ,1578862638
313,padang,63.84,-22.43,28.4,92,90,41.38,IS,1578862638
314,vallenar,5.66,-67.62,91.4,46,40,11.41,VE,1578862638
315,souillac,-25.3,152.85,75.0,94,40,8.05,AU,1578862638
316,gilazi,19.33,-96.67,75.99,60,90,9.17,MX,1578862638
317,beringovskiy,70.02,135.6,-34.55,98,1,9.55,RU,1578862638
318,makakilo city,-2.17,-79.9,91.4,52,40,3.36,EC,1578862639
319,fairbanks,-2.02,147.27,83.95,79,100,16.82,PG,1578862639
320,othonoi,33.89,35.49,57.2,82,75,6.93,LB,1578862480
321,minsk,-7.96,38.97,75.38,92,100,1.28,TZ,1578862639
322,launceston,-0.18,-50.05,78.85,87,3,6.82,BR,1578862639
323,maningrida,59.57,7.99,28.99,89,28,1.01,NO,1578862639
324,victoria,51.65,84.32,12.99,83,100,3.2,RU,1578862639
325,newburn,12.48,-13.3,80.91,15,0,6.08,GN,1578862639
326,bilibino,37.57,68.45,33.8,93,90,11.18,TJ,1578862640
327,kavieng,57.84,108.35,-11.87,98,15,1.72,RU,1578862640
328,tuatapere,-26.65,15.16,65.8,84,0,27.69,NA,1578862640
329,gouyave,-5.47,-35.37,82.4,69,83,13.87,BR,1578862640
330,palau,36.21,57.68,30.16,63,0,4.25,IR,1578862640
331,whitecourt,55.75,38.0,34.0,97,90,8.95,RU,1578862640
332,saleaula,40.09,113.29,4.89,81,86,1.81,CN,1578862640
333,whitehorse,13.3,19.7,68.45,14,3,5.53,TD,1578862640
334,waingapu,46.48,30.73,30.2,86,0,4.97,UA,1578862641
335,maragogi,27.69,111.43,37.4,91,0,1.01,CN,1578862641
336,rawson,-46.23,169.75,57.99,52,1,17.0,NZ,1578862641
337,hay river,-17.88,36.89,82.4,88,20,3.89,MZ,1578862641
338,sofiysk,26.22,50.58,62.6,48,3,14.99,BH,1578862641
339,caborca,11.76,9.34,74.79,27,100,5.84,NG,1578862641
340,rocha,-38.55,-58.74,66.0,70,0,4.0,AR,1578862642
341,birjand,-8.77,160.7,84.07,79,100,22.55,SB,1578862642
342,luebo,-28.27,29.13,56.32,93,88,5.39,ZA,1578862642
343,brae,-29.95,-71.34,66.2,68,40,13.87,CL,1578862642
344,nurobod,-35.57,138.62,75.99,63,0,4.7,AU,1578862642
345,grindavik,70.86,29.09,26.6,86,90,13.87,NO,1578862642
346,puerto ayacucho,31.35,27.25,50.0,81,0,2.84,EG,1578862642
347,hervey bay,-28.55,16.43,63.3,95,8,9.35,NA,1578862505
348,veracruz,31.5,34.47,55.4,82,75,8.05,PS,1578862643
349,wulanhaote,36.89,4.12,53.58,79,0,7.87,DZ,1578862643
350,ust-kuyga,45.52,-122.68,46.0,81,90,13.87,US,1578862450
351,guayaquil,35.13,140.3,44.6,75,75,3.36,JP,1578862643
352,lorengau,49.49,105.92,-9.67,89,0,5.48,MN,1578862643
353,beirut,-0.91,122.88,80.83,76,100,3.15,ID,1578862643
354,ikwiriri,44.17,-94.03,24.01,79,90,10.29,US,1578862643
355,tucuma,69.47,25.51,26.6,92,75,16.11,NO,1578862644
356,amot,65.58,-171.0,15.89,94,100,10.31,RU,1578862644
357,soloneshnoye,0.6,-80.03,84.2,83,75,11.41,EC,1578862644
358,koundara,21.12,70.12,72.63,81,0,11.88,IN,1578862644
359,garavuti,11.5,125.5,75.87,88,79,7.11,PH,1578862644
360,alekseyevsk,34.64,-120.46,63.0,62,1,3.36,US,1578862644
361,luderitz,-27.65,25.61,77.04,37,5,9.28,ZA,1578862644
362,sao miguel,10.62,104.18,78.8,78,40,6.93,KH,1578862644
363,sabzevar,63.44,-20.27,37.78,76,100,27.92,IS,1578862644
364,zheleznodorozhnyy,-35.1,173.78,75.99,83,75,1.01,NZ,1578862645
365,datong,61.67,96.37,-4.29,95,100,2.75,RU,1578862645
366,oum hadjer,62.53,155.8,-34.51,96,40,2.73,RU,1578862645
367,odessa,55.0,74.1,10.4,85,75,6.71,RU,1578862645
368,tubruq,28.4,-97.75,73.0,61,100,8.99,US,1578862560
369,lengshuijiang,59.64,-151.55,28.4,86,90,4.7,US,1578862645
370,balclutha,56.45,138.17,-4.23,75,98,7.81,RU,1578862645
371,quelimane,25.29,51.53,60.8,48,0,9.17,QA,1578862633
372,manama,11.24,-74.2,71.4,66,10,4.16,CO,1578862646
373,dinsor,17.41,104.78,58.89,95,1,3.76,TH,1578862646
374,dutse,-7.95,110.28,72.81,93,100,4.09,ID,1578862646
375,necochea,46.7,-75.45,9.09,90,90,5.93,CA,1578862646
376,auki,47.93,-97.03,17.6,67,40,11.41,US,1578862646
377,harrismith,-35.17,173.17,75.99,83,93,1.01,NZ,1578862646
378,coquimbo,-2.65,10.0,78.73,80,89,2.73,GA,1578862646
379,victor harbor,2.04,45.34,81.82,81,0,21.03,SO,1578862647
380,berlevag,30.23,-92.07,63.0,59,1,5.64,US,1578862647
381,marsa matruh,-40.92,-73.17,77.0,57,100,8.05,CL,1578862647
382,oranjemund,8.53,28.1,62.92,14,0,4.14,SS,1578862647
383,gasa,49.2,-113.3,-4.0,70,90,9.17,CA,1578862532
384,tigzirt,-17.8,-63.17,89.6,62,75,14.99,BO,1578862647
385,portland,-16.96,-51.81,80.55,83,65,3.42,BR,1578862647
386,katsuura,38.3,-77.46,70.0,43,1,4.81,US,1578862516
387,darhan,-20.73,139.5,80.6,61,62,4.7,AU,1578862648
388,biak,29.27,82.18,28.76,63,0,5.68,NP,1578862648
389,north mankato,64.75,177.48,23.0,92,40,6.71,RU,1578862648
390,karasjok,27.27,31.15,51.8,66,100,6.93,EG,1578862648
391,lavrentiya,-34.0,24.73,65.88,96,28,0.87,ZA,1578862648
392,muisne,-31.43,152.92,71.01,77,90,6.93,AU,1578862648
393,mangrol,43.93,141.64,26.98,74,100,10.83,JP,1578862648
394,maydolong,35.86,14.38,54.0,81,20,9.17,MT,1578862649
395,lompoc,-28.78,32.04,80.11,80,100,3.4,ZA,1578862649
396,bloemhof,-36.62,-71.83,91.4,19,0,2.24,CL,1578862649
397,kampot,61.38,152.75,-31.14,100,80,2.21,RU,1578862649
398,vestmannaeyjar,1.49,124.85,75.2,100,20,1.12,ID,1578862649
399,kaeo,7.06,-4.5,88.57,35,100,4.29,CI,1578862650
400,baykit,51.67,75.37,3.29,82,37,8.84,KZ,1578862650
401,omsukchan,9.49,50.81,78.33,78,84,24.18,SO,1578862650
402,kormilovka,47.54,134.75,0.03,94,100,3.69,RU,1578862650
403,beeville,60.76,46.31,34.83,99,100,11.5,RU,1578862650
404,homer,42.27,118.96,7.95,42,0,8.05,CN,1578862650
405,ayan,36.68,-121.66,55.99,66,1,10.49,US,1578862552
406,doha,15.88,-61.31,80.6,73,20,19.46,GP,1578862650
407,santa marta,-41.07,145.92,61.0,82,21,3.0,AU,1578862651
408,nakhon phanom,42.06,59.38,30.2,79,90,2.24,TM,1578862651
409,bambanglipuro,36.37,6.61,39.2,93,40,4.7,DZ,1578862590
410,ferme-neuve,19.25,-103.38,84.2,45,40,11.41,MX,1578862651
411,grand forks,6.25,-57.52,77.99,82,21,4.63,GY,1578862651
412,ahipara,-5.32,119.37,75.2,100,40,3.36,ID,1578862651
413,gamba,-23.53,148.17,77.0,78,98,10.29,AU,1578862651
414,mogadishu,40.28,97.2,14.0,65,94,14.38,CN,1578862651
415,lafayette,-23.65,-70.4,69.8,68,75,17.22,CL,1578862652
416,babanusah,64.86,-147.8,-0.4,80,40,4.05,US,1578862652
417,purranque,60.47,26.92,35.6,100,90,5.82,FI,1578862652
418,gogrial,40.97,117.94,6.58,61,0,4.92,CN,1578862652
419,cardston,10.58,-61.12,82.4,69,40,16.11,TT,1578862652
420,santa cruz,66.0,111.5,1.4,91,57,11.18,RU,1578862652
421,caiaponia,65.68,-18.09,23.0,73,40,17.22,IS,1578862652
422,fredericksburg,39.55,-107.32,27.0,67,1,5.08,US,1578862653
423,mount isa,-9.67,-35.74,84.2,66,40,13.87,BR,1578862612
424,jumla,17.02,54.09,68.0,24,9,13.87,OM,1578862653
425,anadyr,4.25,117.89,77.0,88,75,2.24,MY,1578862653
426,abnub,20.52,-13.05,59.67,19,0,8.77,MR,1578862653
427,kruisfontein,41.85,3.13,46.99,86,66,1.12,ES,1578862653
428,port macquarie,32.62,14.0,50.72,74,100,2.48,LY,1578862653
429,rumoi,64.56,39.83,33.8,95,90,15.66,RU,1578862654
430,dingli,-5.26,-44.65,78.26,90,73,2.06,BR,1578862654
431,richards bay,53.52,-2.49,42.8,86,20,5.82,GB,1578862654
432,coihueco,22.57,59.53,64.22,49,0,10.07,OM,1578862654
433,paucartambo,43.32,145.57,29.28,81,100,6.64,JP,1578862654
434,talaya,34.88,-76.9,75.99,100,90,6.93,US,1578862654
435,manado,-5.55,150.14,75.65,94,100,2.44,PG,1578862654
436,bocanda,36.17,107.71,22.08,69,33,7.72,CN,1578862655
437,ekibastuz,60.75,-137.51,-18.29,90,0,3.74,CA,1578862655
438,bandarbeyla,27.92,96.17,52.36,60,0,3.06,IN,1578862655
439,vyazemskiy,-20.67,-40.5,84.2,74,20,14.99,BR,1578862655
440,velikiy ustyug,-2.89,-40.12,79.34,75,78,7.47,BR,1578862655
441,chifeng,61.67,27.25,33.8,90,90,6.93,FI,1578862655
442,salinas,55.1,-105.28,1.4,77,90,4.7,CA,1578862655
443,grand-bourg,-10.13,-36.18,80.38,78,0,11.72,BR,1578862617
444,burnie,-13.85,136.42,77.0,100,92,3.36,AU,1578862656
445,akdepe,41.4,119.64,4.53,68,0,3.71,CN,1578862656
446,constantine,38.61,-122.87,55.99,71,20,5.82,US,1578862656
447,pihuamo,5.88,-10.05,80.6,94,20,3.76,LR,1578862656
448,new amsterdam,60.0,-1.25,41.0,80,100,35.57,GB,1578862656
449,galesong,67.67,12.69,33.8,80,20,4.7,NO,1578862656
450,emerald,43.59,-83.89,26.01,79,90,3.36,US,1578862657
451,yumen,45.87,25.78,27.0,90,45,1.45,RO,1578862657
452,antofagasta,11.3,-10.72,76.71,24,2,4.52,GN,1578862657
453,college,30.41,-86.62,75.99,69,90,4.99,US,1578862364
454,kotka,61.99,5.14,42.8,81,40,20.8,NO,1578862657
455,chengde,55.13,-1.51,39.99,86,20,5.82,GB,1578862657
456,samalaeulu,-7.26,-34.91,82.4,65,75,13.87,BR,1578862460
457,sangre grande,16.64,1.64,71.62,8,100,15.57,ML,1578862657
458,aykhal,35.47,-6.03,48.2,76,0,2.24,MA,1578862657
459,akureyri,46.68,113.28,-8.03,82,0,7.63,MN,1578862658
460,glenwood springs,13.35,-15.75,80.73,14,34,7.67,GM,1578862658
461,maceio,34.45,40.92,52.74,69,98,7.23,SY,1578862658
462,salalah,55.1,55.35,23.0,92,90,11.18,RU,1578862658
463,tawau,-0.72,8.78,80.6,88,20,3.36,GA,1578862658
464,atar,60.92,-46.05,3.2,38,0,8.05,GL,1578862659
465,palamos,24.7,-77.77,80.6,65,40,17.22,BS,1578862659
466,masallatah,42.78,-9.06,53.01,93,75,5.82,ES,1578862659
467,severodvinsk,35.58,-95.33,50.0,39,1,12.75,US,1578862659
468,tuntum,36.21,-115.98,54.0,28,1,3.22,US,1578862659
469,atherton,45.41,-75.7,19.0,72,75,9.17,CA,1578862555
470,sur,51.23,-58.65,9.99,72,100,22.08,CA,1578862659
471,nemuro,-27.27,28.48,61.74,76,66,15.52,ZA,1578862660
472,tabiauea,31.65,-106.3,61.0,15,1,12.75,US,1578862660
473,havelock,47.36,7.34,39.0,93,75,6.93,CH,1578862660
474,kimbe,-2.48,29.56,56.95,93,93,1.63,RW,1578862660
475,sapu,66.77,123.37,-14.13,96,100,17.16,RU,1578862660
476,haines junction,-12.12,-73.0,87.33,55,69,3.42,PE,1578862660
477,tezu,-16.7,-151.02,80.49,80,100,18.52,PF,1578862661
478,satitoa,-25.24,130.99,82.4,24,40,6.93,AU,1578862661
479,guarapari,-13.31,35.24,64.4,93,75,3.36,MZ,1578862661
480,acarau,12.63,80.17,77.0,94,20,2.24,IN,1578862661
481,mikkeli,62.14,117.63,-3.48,93,70,6.91,RU,1578862661
482,la ronge,37.19,10.18,51.8,87,40,4.7,TN,1578862661
483,coruripe,43.12,5.8,46.99,86,1,5.82,FR,1578862661
484,alyangula,16.35,-93.53,80.6,54,90,13.87,MX,1578862662
485,yebaishou,46.42,3.91,41.0,75,90,3.36,FR,1578862662
486,healdsburg,21.28,-88.27,85.32,59,77,9.82,MX,1578862662
487,buchanan,-1.57,9.26,76.1,90,92,2.75,GA,1578862662
488,sandwick,11.03,-63.86,89.6,59,40,15.9,VE,1578862662
489,warqla,-3.94,122.5,73.81,96,100,2.06,ID,1578862662
490,sorland,-37.83,140.77,48.2,100,0,5.82,AU,1578862662
491,bay city,20.2,1.01,56.25,32,0,15.12,ML,1578862662
492,sfantu gheorghe,-11.38,43.28,80.6,74,20,6.93,KM,1578862663
493,dinguiraye,42.57,-0.55,37.0,100,100,2.15,ES,1578862663
494,fort walton beach,67.47,86.58,-6.12,100,96,3.58,RU,1578862663
495,raudeberg,-33.01,17.94,66.47,89,0,17.67,ZA,1578862663
496,blyth,63.45,120.32,-7.37,94,75,7.43,RU,1578862663
497,conde,-28.52,27.01,70.38,54,43,25.93,ZA,1578862663
498,gao,54.94,10.71,42.4,91,82,16.51,DK,1578862663
499,asilah,66.4,14.52,34.0,97,90,2.24,NO,1578862664
500,baruun-urt,34.17,77.58,13.21,90,100,4.81,IN,1578862664
501,nioro,54.34,101.5,-10.68,99,0,4.21,RU,1578862664
502,abu kamal,-19.45,29.82,65.26,92,92,5.93,ZW,1578862664
503,kushnarenkovo,-33.46,-70.65,90.0,24,0,9.17,CL,1578862387
504,port-gentil,-5.12,-60.38,82.51,92,97,1.14,BR,1578862383
505,narsaq,44.06,-121.32,41.0,86,20,6.93,US,1578862427
506,cheuskiny,55.61,64.94,5.61,94,8,6.76,RU,1578862665
507,andros town,57.88,33.7,38.39,92,100,13.94,RU,1578862665
508,muros,37.18,-113.29,48.99,36,1,3.36,US,1578862561
509,muskogee,-45.42,167.72,48.52,62,2,4.41,NZ,1578862665
510,pahrump,-25.17,45.05,75.02,80,0,13.47,MG,1578862665
511,ottawa,-26.79,-60.44,76.68,94,100,11.27,AR,1578862666
512,saint-augustin,66.32,-179.17,13.3,95,100,9.42,RU,1578862666
513,frankfort,7.09,125.16,77.0,88,75,2.24,PH,1578862666
514,mergui,-15.56,-68.02,86.72,52,9,6.78,BO,1578862666
515,socorro,-6.98,-34.83,82.4,65,75,13.87,BR,1578862666
516,delemont,4.18,19.9,72.66,29,0,1.68,CD,1578862666
517,nzega,45.75,25.02,27.0,87,0,4.34,RO,1578862666
518,zhigansk,24.69,46.72,46.4,61,0,2.24,SA,1578862664
519,samusu,-16.52,-151.75,81.27,80,100,19.53,PF,1578862667
520,pangoa,36.62,101.77,6.37,84,100,2.82,CN,1578862667
521,fare,-3.37,135.48,72.84,99,100,1.86,ID,1578862667
522,yulara,24.47,54.37,64.4,52,40,11.41,AE,1578862468
523,lichinga,58.3,-134.42,19.4,33,20,10.29,US,1578862667
524,mamallapuram,52.24,-3.38,43.0,98,58,1.01,GB,1578862668
525,suntar,19.28,-81.25,87.8,58,20,19.46,KY,1578862668
526,rafraf,57.31,88.17,6.75,95,100,6.55,RU,1578862668
527,sanary-sur-mer,5.89,95.32,81.48,70,19,4.97,ID,1578862668
528,cristobal obregon,27.62,113.85,35.2,92,0,3.85,CN,1578862668
529,saint-francois,50.92,25.27,33.39,83,97,13.76,UA,1578862669
530,panaba,20.93,-17.03,68.0,56,0,13.87,MR,1578862505
531,omboue,-23.76,-45.41,80.65,84,75,8.16,BR,1578862669
532,la asuncion,20.89,-156.47,75.2,83,90,12.75,US,1578862669
533,kendari,33.34,44.4,48.2,57,97,1.12,IQ,1578862669
534,mount gambier,2.18,22.47,74.57,64,0,2.37,CD,1578862669
535,tessalit,-19.55,169.27,82.4,78,75,5.82,VU,1578862669
536,mitsamiouli,-22.45,18.97,76.06,56,84,5.06,NA,1578862670
537,jaca,52.42,60.34,7.2,90,0,9.42,RU,1578862670
538,igarka,-4.39,-59.59,77.2,94,100,1.9,BR,1578862670
539,saldanha,-14.27,-43.16,77.59,59,0,3.78,BR,1578862670
540,verkhnevilyuysk,31.67,38.66,42.8,100,0,6.93,SA,1578862530
541,winburg,41.3,124.12,-5.8,76,7,2.24,CN,1578862670
542,rudkobing,4.87,-2.24,80.47,77,8,1.88,GH,1578862670
543,storforshei,18.98,81.4,55.56,47,0,2.08,IN,1578862670
544,leh,-16.62,-72.71,66.33,76,96,9.37,PE,1578862671
545,kuytun,57.05,-135.33,19.4,37,1,5.82,US,1578862589
546,gweru,37.35,59.61,34.48,63,0,8.1,TM,1578862671
547,santiago,-15.77,128.73,78.8,94,52,1.23,AU,1578862671
548,novo aripuana,46.92,-0.5,46.0,96,99,7.29,FR,1578862671
549,nguiu,32.83,66.0,24.37,99,73,3.22,AF,1578862671
550,dolbeau,42.03,-8.16,52.0,100,75,1.12,PT,1578862551
551,bend,22.68,-3.98,57.58,30,0,10.22,ML,1578862671
552,ikovka,48.73,7.05,45.0,86,90,6.93,FR,1578862672
553,vypolzovo,11.67,92.75,77.68,75,3,12.62,IN,1578862379
554,hurricane,29.45,55.68,32.32,62,0,1.21,IR,1578862672
555,te anau,53.39,45.06,23.0,72,100,16.89,RU,1578862672
556,beloha,16.86,-99.89,87.8,66,5,6.93,MX,1578862672
557,presidencia roque saenz pena,27.32,103.72,34.63,81,2,3.27,CN,1578862672
558,egvekinot,43.17,70.47,25.25,97,100,1.97,KZ,1578862672
559,tagbac,-16.26,-56.62,89.37,59,94,0.98,BR,1578862672
560,tipuani,32.78,-79.93,77.0,94,90,8.93,US,1578862635
561,cabedelo,63.08,21.67,35.6,80,17,8.05,FI,1578862673
562,bosobolo,20.5,-10.07,60.28,19,0,12.21,MR,1578862673
563,harseni,-43.25,-65.31,74.71,28,0,22.41,AR,1578862452
564,riyadh,61.47,-6.81,41.61,78,100,31.61,FO,1578862673
565,vaitape,-16.1,46.63,80.6,78,20,3.36,MG,1578862673
566,tulcingo,28.66,-17.92,64.4,72,75,8.05,ES,1578862673
567,xining,47.61,-122.2,45.0,100,75,8.05,US,1578862619
568,nabire,-18.06,13.84,71.17,40,69,9.19,NA,1578862674
569,abu dhabi,-17.93,19.77,69.33,88,100,3.89,NA,1578862674
570,juneau,66.8,65.81,-4.41,100,100,10.02,RU,1578862674
571,umzimvubu,-37.81,144.89,60.01,93,0,20.8,AU,1578862674
572,llandrindod wells,21.32,103.9,55.8,91,48,1.52,VN,1578862675
573,bodden town,39.45,-86.18,39.0,100,90,5.82,US,1578862675
574,teguldet,21.28,-89.67,87.8,55,75,13.87,MX,1578862675
575,sabang,48.68,24.41,24.8,100,19,10.63,UA,1578862675
576,pingxiang,14.51,-92.19,93.2,44,20,6.93,GT,1578862675
577,rozhyshche,13.98,10.27,74.59,25,95,7.56,NE,1578862675
578,nouadhibou,23.65,80.7,53.74,38,0,2.46,IN,1578862675
579,sao sebastiao,46.08,127.4,-3.23,96,100,5.37,CN,1578862676
580,kahului,22.42,-83.7,79.99,69,4,11.48,CU,1578862676
581,baghdad,-9.43,159.95,77.0,100,90,4.7,SB,1578862676
582,afmadu,-19.98,57.61,80.6,78,75,5.82,MU,1578862676
583,bumba,53.21,34.66,32.02,88,100,12.03,RU,1578862676
584,isangel,-20.74,116.85,87.87,67,99,20.24,AU,1578862676
